x-axis;1;2;;diodo 1;
second;Volt;Volt;;Vd;Id
-3,70E+00;1,85E+10;1,16E+10;;6,96E+09;7,74E+15
-3,70E+00;1,85E+10;1,16E+10;;6,96E+09;7,74E+15
-3,69E+00;1,85E+10;1,12E+10;;7,27E+09;7,47E+15
-3,69E+00;1,80E+10;1,12E+10;;6,77E+09;7,47E+15
-3,68E+00;1,85E+10;1,09E+10;;7,59E+09;7,27E+15
-3,68E+00;1,85E+10;1,12E+10;;7,27E+09;7,47E+15
-3,67E+00;1,90E+10;1,12E+10;;7,77E+09;7,47E+15
-3,67E+00;1,85E+10;1,12E+10;;7,27E+09;7,47E+15
-3,66E+00;1,80E+10;1,09E+10;;7,09E+09;7,27E+15
-3,66E+00;1,80E+10;1,09E+10;;7,09E+09;7,27E+15
-3,65E+00;1,80E+10;1,09E+10;;7,09E+09;7,27E+15
-3,65E+00;1,80E+10;1,09E+10;;7,09E+09;7,27E+15
-3,64E+00;1,80E+10;1,09E+10;;7,09E+09;7,27E+15
-3,64E+00;1,85E+10;1,06E+10;;7,90E+09;7,07E+15
-3,63E+00;1,80E+10;1,09E+10;;7,09E+09;7,27E+15
-3,63E+00;1,80E+10;1,06E+10;;7,40E+09;7,07E+15
-3,62E+00;1,80E+10;1,06E+10;;7,40E+09;7,07E+15
-3,62E+00;1,80E+10;1,06E+10;;7,40E+09;7,07E+15
-3,61E+00;1,85E+10;1,06E+10;;7,90E+09;7,07E+15
-3,61E+00;1,80E+10;1,09E+10;;7,09E+09;7,27E+15
-3,60E+00;1,75E+10;1,06E+10;;6,90E+09;7,07E+15
-3,60E+00;1,75E+10;1,03E+10;;7,21E+09;6,87E+15
-3,59E+00;1,75E+10;1,03E+10;;7,21E+09;6,87E+15
-3,59E+00;1,75E+10;1,03E+10;;7,21E+09;6,87E+15
-3,58E+00;1,75E+10;1,03E+10;;7,21E+09;6,87E+15
-3,58E+00;1,75E+10;1,03E+10;;7,21E+09;6,87E+15
-3,57E+00;1,75E+10;1,03E+10;;7,21E+09;6,87E+15
-3,57E+00;1,75E+10;1,03E+10;;7,21E+09;6,87E+15
-3,56E+00;1,75E+10;1,03E+10;;7,21E+09;6,87E+15
-3,56E+00;1,70E+10;1,00E+07;;1,70E+10;6,67E+12
-3,55E+00;1,70E+10;1,00E+07;;1,70E+10;6,67E+12
-3,55E+00;1,75E+10;1,00E+07;;1,75E+10;6,67E+12
-3,54E+00;1,70E+10;1,00E+07;;1,70E+10;6,67E+12
-3,54E+00;1,70E+10;9,68E+06;;1,70E+10;6,46E+12
-3,53E+00;1,70E+10;9,68E+06;;1,70E+10;6,46E+12
-3,53E+00;1,70E+10;1,00E+07;;1,70E+10;6,67E+12
-3,52E+00;1,70E+10;1,00E+07;;1,70E+10;6,67E+12
-3,52E+00;1,70E+10;1,00E+07;;1,70E+10;6,67E+12
-3,51E+00;1,70E+10;9,68E+06;;1,70E+10;6,46E+12
-3,51E+00;1,70E+10;9,68E+06;;1,70E+10;6,46E+12
-3,50E+00;1,65E+10;9,68E+06;;1,65E+10;6,46E+12
-3,50E+00;1,70E+10;1,00E+07;;1,70E+10;6,67E+12
-3,49E+00;1,70E+10;9,68E+06;;1,70E+10;6,46E+12
-3,49E+00;1,65E+10;9,68E+06;;1,65E+10;6,46E+12
-3,48E+00;1,65E+10;9,37E+06;;1,65E+10;6,25E+12
-3,48E+00;1,65E+10;9,37E+06;;1,65E+10;6,25E+12
-3,47E+00;1,65E+10;9,37E+06;;1,65E+10;6,25E+12
-3,47E+00;1,65E+10;9,06E+06;;1,65E+10;6,04E+12
-3,46E+00;1,65E+10;9,37E+06;;1,65E+10;6,25E+12
-3,46E+00;1,65E+10;9,37E+06;;1,65E+10;6,25E+12
-3,45E+00;1,65E+10;9,06E+06;;1,65E+10;6,04E+12
-3,45E+00;1,65E+10;9,37E+06;;1,65E+10;6,25E+12
-3,44E+00;1,70E+10;9,06E+06;;1,70E+10;6,04E+12
-3,44E+00;1,60E+10;9,06E+06;;1,60E+10;6,04E+12
-3,43E+00;1,60E+10;9,06E+06;;1,60E+10;6,04E+12
-3,43E+00;1,60E+10;9,06E+06;;1,60E+10;6,04E+12
-3,42E+00;1,65E+10;9,06E+06;;1,65E+10;6,04E+12
-3,42E+00;1,65E+10;9,37E+06;;1,65E+10;6,25E+12
-3,41E+00;1,60E+10;9,06E+06;;1,60E+10;6,04E+12
-3,41E+00;1,60E+10;9,06E+06;;1,60E+10;6,04E+12
-3,40E+00;1,60E+10;8,75E+06;;1,60E+10;5,84E+12
-3,40E+00;1,60E+10;9,37E+06;;1,60E+10;6,25E+12
-3,39E+00;1,55E+10;8,75E+06;;1,55E+10;5,84E+12
-3,39E+00;1,55E+10;8,75E+06;;1,55E+10;5,84E+12
-3,38E+00;1,55E+10;8,75E+06;;1,55E+10;5,84E+12
-3,38E+00;1,55E+10;8,75E+06;;1,55E+10;5,84E+12
-3,37E+00;1,60E+10;8,43E+06;;1,60E+10;5,62E+12
-3,37E+00;1,60E+10;8,75E+06;;1,60E+10;5,84E+12
