x-axis;1;2;;Segundo diodo;
second;Volt;Volt;;Vd;Id
-3,47E+00;4,35E+10;2,50E+10;;1,85E+10;2,36E+15
-3,47E+00;4,35E+10;2,50E+10;;1,85E+10;2,36E+15
-3,46E+00;4,35E+10;2,50E+10;;1,85E+10;2,36E+15
-3,46E+00;4,40E+10;2,53E+10;;1,87E+10;2,39E+15
-3,45E+00;4,35E+10;2,53E+10;;1,82E+10;2,39E+15
-3,45E+00;4,40E+10;2,50E+10;;1,90E+10;2,36E+15
-3,44E+00;4,45E+10;2,53E+10;;1,92E+10;2,39E+15
-3,44E+00;4,35E+10;2,53E+10;;1,82E+10;2,39E+15
-3,43E+00;4,35E+10;2,56E+10;;1,79E+10;2,42E+15
-3,43E+00;4,40E+10;2,53E+10;;1,87E+10;2,39E+15
-3,42E+00;4,40E+10;2,56E+10;;1,84E+10;2,42E+15
-3,42E+00;4,45E+10;2,56E+10;;1,89E+10;2,42E+15
-3,41E+00;4,40E+10;2,56E+10;;1,84E+10;2,42E+15
-3,41E+00;4,40E+10;2,56E+10;;1,84E+10;2,42E+15
-3,40E+00;4,45E+10;2,56E+10;;1,89E+10;2,42E+15
-3,40E+00;4,45E+10;2,56E+10;;1,89E+10;2,42E+15
-3,39E+00;4,40E+10;2,56E+10;;1,84E+10;2,42E+15
-3,39E+00;4,45E+10;2,56E+10;;1,89E+10;2,42E+15
-3,38E+00;4,45E+10;2,56E+10;;1,89E+10;2,42E+15
-3,38E+00;4,45E+10;2,59E+10;;1,86E+10;2,44E+15
-3,37E+00;4,45E+10;2,59E+10;;1,86E+10;2,44E+15
-3,37E+00;4,45E+10;2,59E+10;;1,86E+10;2,44E+15
-3,36E+00;4,45E+10;2,62E+10;;1,83E+10;2,47E+15
-3,36E+00;4,45E+10;2,62E+10;;1,83E+10;2,47E+15
-3,35E+00;4,45E+10;2,62E+10;;1,83E+10;2,47E+15
-3,35E+00;4,50E+10;2,62E+10;;1,88E+10;2,47E+15
-3,34E+00;4,50E+10;2,62E+10;;1,88E+10;2,47E+15
-3,34E+00;4,50E+10;2,62E+10;;1,88E+10;2,47E+15
-3,33E+00;4,50E+10;2,62E+10;;1,88E+10;2,47E+15
-3,33E+00;4,50E+10;2,62E+10;;1,88E+10;2,47E+15
-3,32E+00;4,50E+10;2,62E+10;;1,88E+10;2,47E+15
-3,32E+00;4,50E+10;2,66E+10;;1,85E+10;2,51E+15
-3,31E+00;4,55E+10;2,66E+10;;1,90E+10;2,51E+15
-3,31E+00;4,60E+10;2,66E+10;;1,95E+10;2,51E+15
-3,30E+00;4,55E+10;2,66E+10;;1,90E+10;2,51E+15
-3,30E+00;4,55E+10;2,62E+10;;1,93E+10;2,47E+15
-3,29E+00;4,55E+10;2,66E+10;;1,90E+10;2,51E+15
-3,29E+00;4,60E+10;2,69E+10;;1,92E+10;2,54E+15
-3,28E+00;4,55E+10;2,69E+10;;1,87E+10;2,54E+15
-3,28E+00;4,55E+10;2,66E+10;;1,90E+10;2,51E+15
-3,27E+00;4,55E+10;2,69E+10;;1,87E+10;2,54E+15
-3,27E+00;4,55E+10;2,69E+10;;1,87E+10;2,54E+15
-3,26E+00;4,55E+10;2,69E+10;;1,87E+10;2,54E+15
-3,26E+00;4,60E+10;2,72E+10;;1,88E+10;2,57E+15
-3,25E+00;4,55E+10;2,69E+10;;1,87E+10;2,54E+15
-3,25E+00;4,55E+10;2,69E+10;;1,87E+10;2,54E+15
-3,24E+00;4,55E+10;2,69E+10;;1,87E+10;2,54E+15
-3,24E+00;4,60E+10;2,72E+10;;1,88E+10;2,57E+15
-3,23E+00;4,60E+10;2,75E+10;;1,85E+10;2,59E+15
-3,23E+00;4,60E+10;2,72E+10;;1,88E+10;2,57E+15
-3,22E+00;4,60E+10;2,72E+10;;1,88E+10;2,57E+15
-3,22E+00;4,60E+10;2,75E+10;;1,85E+10;2,59E+15
-3,21E+00;4,60E+10;2,75E+10;;1,85E+10;2,59E+15
-3,21E+00;4,60E+10;2,75E+10;;1,85E+10;2,59E+15
-3,20E+00;4,60E+10;2,75E+10;;1,85E+10;2,59E+15
-3,20E+00;4,65E+10;2,72E+10;;1,93E+10;2,57E+15
-3,19E+00;4,60E+10;2,75E+10;;1,85E+10;2,59E+15
-3,19E+00;4,60E+10;2,75E+10;;1,85E+10;2,59E+15
-3,18E+00;4,65E+10;2,75E+10;;1,90E+10;2,59E+15
-3,18E+00;4,60E+10;2,75E+10;;1,85E+10;2,59E+15
-3,17E+00;4,60E+10;2,75E+10;;1,85E+10;2,59E+15
-3,17E+00;4,65E+10;2,78E+10;;1,87E+10;2,62E+15
-3,16E+00;4,65E+10;2,78E+10;;1,87E+10;2,62E+15
-3,16E+00;4,70E+10;2,78E+10;;1,92E+10;2,62E+15
-3,15E+00;4,65E+10;2,78E+10;;1,87E+10;2,62E+15
-3,15E+00;4,65E+10;2,78E+10;;1,87E+10;2,62E+15
-3,14E+00;4,65E+10;2,78E+10;;1,87E+10;2,62E+15
