x-axis;1;2;;Tercer diodo;
second;Volt;Volt;;Vd;Id
-3,36E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-3,35E+00;4,50E+10;2,37E+10;;2,13E+10;1,14E+15
-3,35E+00;4,50E+10;2,37E+10;;2,13E+10;1,14E+15
-3,34E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-3,34E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-3,33E+00;4,50E+10;2,31E+10;;2,19E+10;1,11E+15
-3,33E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-3,32E+00;4,55E+10;2,34E+10;;2,21E+10;1,13E+15
-3,32E+00;4,50E+10;2,31E+10;;2,19E+10;1,11E+15
-3,31E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-3,31E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-3,30E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-3,30E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-3,29E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-3,29E+00;4,50E+10;2,34E+10;;2,16E+10;1,13E+15
-3,28E+00;4,45E+10;2,31E+10;;2,14E+10;1,11E+15
-3,28E+00;4,50E+10;2,28E+10;;2,22E+10;1,10E+15
-3,27E+00;4,45E+10;2,28E+10;;2,17E+10;1,10E+15
-3,27E+00;4,45E+10;2,28E+10;;2,17E+10;1,10E+15
-3,26E+00;4,40E+10;2,28E+10;;2,12E+10;1,10E+15
-3,26E+00;4,40E+10;2,28E+10;;2,12E+10;1,10E+15
-3,25E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-3,25E+00;4,40E+10;2,28E+10;;2,12E+10;1,10E+15
-3,24E+00;4,40E+10;2,28E+10;;2,12E+10;1,10E+15
-3,24E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-3,23E+00;4,35E+10;2,28E+10;;2,07E+10;1,10E+15
-3,23E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-3,22E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-3,22E+00;4,40E+10;2,25E+10;;2,15E+10;1,08E+15
-3,21E+00;4,35E+10;2,25E+10;;2,10E+10;1,08E+15
-3,21E+00;4,35E+10;2,25E+10;;2,10E+10;1,08E+15
-3,20E+00;4,35E+10;2,25E+10;;2,10E+10;1,08E+15
-3,20E+00;4,35E+10;2,22E+10;;2,13E+10;1,07E+15
-3,19E+00;4,35E+10;2,22E+10;;2,13E+10;1,07E+15
-3,19E+00;4,40E+10;2,22E+10;;2,18E+10;1,07E+15
-3,18E+00;4,35E+10;2,22E+10;;2,13E+10;1,07E+15
-3,18E+00;4,40E+10;2,22E+10;;2,18E+10;1,07E+15
-3,17E+00;4,30E+10;2,22E+10;;2,08E+10;1,07E+15
-3,17E+00;4,40E+10;2,19E+10;;2,22E+10;1,05E+15
-3,16E+00;4,35E+10;2,19E+10;;2,17E+10;1,05E+15
-3,16E+00;4,35E+10;2,19E+10;;2,17E+10;1,05E+15
-3,15E+00;4,30E+10;2,19E+10;;2,12E+10;1,05E+15
-3,15E+00;4,30E+10;2,22E+10;;2,08E+10;1,07E+15
-3,14E+00;4,30E+10;2,19E+10;;2,12E+10;1,05E+15
